lat,long
36.81,-121.74
52.27,-7
55.7,9.68
45.3,12.4
45.7,47.9
53.82,7.67
41.6,-70.5
30.15,-85.63
29.6,-91.42
29.79,-84.88
43.35,-70.55
53.33,8.57
29.67,-93.5
30.26,-89.02
53.5,6.75
15.5,73.7
51.4,3.55
48.18,-122.45
33.39,-79.26
53.9,11.4
30.33,-87.6
37.48,-76.75
34.83,126.4
57.34,-1.96
