id,plant,animal,mean.control,se.control,n.control,mean.imta,se.imta,n.imta,increase,reference
A1,Agarophyton chilense,"Oncorhynchus mykiss, Oncorhynchus kisutch",800,300,30,1680,300,30,110,Abreu et al. (2009)
A2,Agarophyton chilense,"Oncorhynchus mykiss, Oncorhynchus kisutch",3.9,0.3,10,7,0.4,10,79,Troell et al. (1997)
G1,Gracilaria bursa-pastoris,Sparus aurata,6.6,0.4,4,9.5,0.7,4,44,Korzen et al. (2016)
P1,Palmaria palmata,Salmo salar,213,38,7,347,43,3,63,Sanderson et al. (2012)
S1,Saccharina latissima,"Oncorhynchus mykiss, Mytilus edulis",1.08,0.09,3,1.51,0.13,3,40,Marinho et al. (2015)
S2,Saccharina latissima,Salmo salar,90,4.1,10,136,5.6,10,51,Wang et al. (2014)
S3,Saccharina latissima,Salmo salar,7.8,0.5,6,9.9,0.5,3,27,Sanderson et al. (2012)
S4,Saccharina latissima,Salmo salar,21,3,6,57,4,6,171,Fossberg et al. (2018)
E1,Eucheuma denticulatum,Holothuria scabra,0.79,0.18,4,2.33,0.335,4,195,Namukose et al. (2016)
K1,Kappaphycus striatus,Holothuria scabra,0.73,0.3,4,1.4,0.4,4,92,Kunzmann et al. (2018)
K2,Kappaphycus alvarezii,Holothuria scabra,0.32,0.05,4,0.56,0.1,4,75,Kunzmann et al. (2018)
U1,Ulva rigida,Sparus aurata,-14.5,4,4,16.8,2,4,NA,Korzen et al. (2016)
U2,Ulva lactuca,"Rachycentron canadum, Perna perna",-2.2,0.17,3,6.32,0.24,3,NA,Nardelli et al. (2019)
